customer_id,age_group,home_location,credit_score,account_age_years,account_type,avg_monthly_income,mobile_banking_user,primary_device,primary_os,primary_browser,avg_transaction_amount,transaction_frequency,employment_status,preferred_transaction_types,international_activity,risk_score
GIME000001,26-35,Palpa,714,13,Savings,55580.82584400276,True,iPad,iOS,Samsung Internet,6498.703229247413,22,Self-employed,"['Loan Payment', 'Internet Bill Payment', 'Water Bill Payment']",True,30
GIME000002,26-35,Kathmandu,607,7,Savings,34640.46996113846,True,Android Tablet,Android,Chrome,3946.7662340667152,6,Employed,"['Loan Payment', 'Branch Deposit', 'QR Payment', 'Branch Withdrawal', 'Hotel Booking Payment', 'Mobile Banking Bill Payment', 'Mobile Banking Transfer', 'Outward Remittance']",True,33
GIME000003,56-65,Mustang,589,10,Savings,37965.867755412066,True,Android Tablet,Android,Edge,13286.477125578442,27,Employed,"['Branch Deposit', 'Electricity Bill Payment', 'Outward Remittance']",False,8
GIME000004,46-55,Biratnagar,609,8,Savings,22131.661182545926,True,iPhone,iOS,Safari,5199.307946811361,19,Self-employed,"['Insurance Premium Payment', 'Branch Withdrawal', 'Internet Bill Payment', 'Mobile Banking Transfer']",False,18
GIME000005,26-35,Butwal,706,7,Current,107904.5812069063,True,iPhone,iOS,Chrome,19884.694305005945,26,Employed,"['Mobile Recharge', 'Internet Bill Payment', 'Wallet Load - Khalti', 'Electricity Bill Payment', 'Interest Credit', 'Wallet Load - eSewa']",True,33
GIME000006,18-25,Darchula,611,4,Savings,62233.52577681736,True,iPad,iOS,Firefox,19420.41999634374,21,Employed,"['Cheque Deposit', 'Internet Bill Payment', 'Mobile Banking Bill Payment', 'Loan Payment', 'Insurance Premium Payment']",False,27
GIME000007,26-35,Kathmandu,683,10,Savings,46445.357574586895,False,,,,9175.51245810598,12,Self-employed,"['QR Payment', 'Branch Deposit', 'School Fee Payment', 'Cheque Payment', 'Cheque Deposit', 'Cable TV Payment']",False,28
GIME000008,36-45,Kathmandu,679,10,Savings,65911.90927791884,True,Laptop,Linux,Firefox,16927.486575836632,12,Employed,"['Inward Remittance', 'Water Bill Payment', 'Interest Credit']",True,29
GIME000009,18-25,Janakpur,659,1,Fixed Deposit,39311.6709265299,True,iPad,iOS,Edge,6629.498549773108,4,Employed,"['Wallet Load - eSewa', 'Airline Ticket Payment', 'Internet Bill Payment', 'Insurance Premium Payment']",False,21
GIME000010,56-65,Jhapa,599,10,Current,109862.53328979053,True,Android Tablet,Android,Opera,40403.89113439125,24,Student,"['Cable TV Payment', 'Electricity Bill Payment', 'Inward Remittance', 'Internet Bill Payment', 'Outward Remittance']",False,21
GIME000011,26-35,Kathmandu,610,1,Current,20344.718573095903,True,Desktop,Windows,Firefox,3678.8072906851585,17,Employed,"['Cheque Payment', 'Wallet Load - IME Pay', 'Branch Deposit', 'Water Bill Payment', 'Loan Payment', 'Insurance Premium Payment', 'Airline Ticket Payment']",True,35
GIME000012,36-45,Bhaktapur,593,6,Savings,49452.47108829683,False,,,,15275.43718520984,9,Unemployed,"['Branch Deposit', 'Water Bill Payment', 'Inward Remittance', 'Mobile Recharge', 'Mobile Banking Bill Payment', 'Loan Payment', 'Cheque Payment', 'Outward Remittance']",False,34
GIME000013,26-35,Solukhumbu,605,6,Savings,78670.30974579841,True,Desktop,macOS,Samsung Internet,13579.799930203766,22,Self-employed,"['Outward Remittance', 'Mobile Recharge', 'Electricity Bill Payment', 'Cheque Payment', 'ATM Withdrawal', 'Airline Ticket Payment', 'Insurance Premium Payment']",True,22
GIME000014,46-55,Lalitpur,727,12,Savings,77846.51506983806,True,Android Phone,Android,Chrome,15276.134555561566,26,Employed,"['Branch Deposit', 'Interest Credit', 'Internet Bill Payment', 'Branch Withdrawal', 'Hotel Booking Payment', 'Inward Remittance', 'Airline Ticket Payment', 'Cable TV Payment']",True,38
GIME000015,36-45,Kathmandu,543,8,Current,118616.44647885206,False,,,,16755.31836118953,13,Employed,"['ATM Withdrawal', 'QR Payment', 'Mobile Banking Bill Payment', 'Wallet Load - eSewa', 'Wallet Load - Khalti', 'Wallet Load - IME Pay', 'Hotel Booking Payment']",False,16
GIME000016,36-45,Jhapa,705,12,Savings,100783.25432538665,True,Laptop,Windows,Edge,36764.81434828281,10,Self-employed,"['Insurance Premium Payment', 'POS Transaction', 'Internet Bill Payment', 'Branch Deposit', 'Mobile Banking Transfer', 'Wallet Load - eSewa', 'Inward Remittance']",False,11
GIME000017,46-55,Kaski,742,6,Current,125619.93359484704,True,Laptop,Windows,Firefox,49255.46931455679,27,Employed,"['Wallet Load - eSewa', 'School Fee Payment', 'Hotel Booking Payment', 'Wallet Load - IME Pay', 'Insurance Premium Payment']",True,28
GIME000018,26-35,Darchula,456,1,Savings,49494.24748857744,True,iPad,iOS,Chrome,9523.595870898534,19,Employed,"['Internet Bill Payment', 'POS Transaction', 'Wallet Load - IME Pay', 'Loan Payment', 'Wallet Load - eSewa', 'School Fee Payment', 'Inward Remittance', 'Electricity Bill Payment']",True,90
GIME000019,26-35,Hetauda,648,8,Fixed Deposit,15000.0,True,Android Phone,Android,Opera,4510.158268483949,9,Student,"['Interest Credit', 'POS Transaction', 'Mobile Banking Transfer', 'Cheque Deposit', 'Mobile Recharge', 'ATM Withdrawal', 'Outward Remittance']",True,29
GIME000020,36-45,Ilam,492,1,Current,92705.96618778954,True,Android Tablet,Android,Chrome,35777.23054619998,19,Employed,"['Water Bill Payment', 'Mobile Banking Bill Payment', 'Branch Withdrawal', 'QR Payment', 'Loan Payment']",False,30
GIME000021,65+,Kathmandu,555,4,Savings,15000.0,True,iPhone,iOS,Brave,5298.959133268402,13,Retired,"['Interest Credit', 'Wallet Load - Khalti', 'Loan Payment', 'Inward Remittance', 'ATM Withdrawal', 'Branch Deposit', 'Wallet Load - IME Pay']",True,18
GIME000022,26-35,Pokhara,788,10,Savings,41013.91227808436,False,,,,12823.95525988072,2,Employed,"['Electricity Bill Payment', 'Branch Deposit', 'Outward Remittance', 'Interest Credit', 'School Fee Payment', 'Airline Ticket Payment']",False,24
GIME000023,26-35,Dhangadhi,531,8,Savings,38881.10204450765,True,iPad,iOS,Brave,4210.241362059186,14,Employed,"['POS Transaction', 'Insurance Premium Payment', 'Wallet Load - eSewa', 'Water Bill Payment', 'Inward Remittance', 'QR Payment']",False,38
GIME000024,26-35,Kathmandu,582,5,Savings,61912.87303608643,True,Laptop,Linux,Opera,12258.462361728118,11,Retired,"['Branch Withdrawal', 'Water Bill Payment', 'Mobile Banking Transfer', 'QR Payment']",False,27
GIME000025,36-45,Kaski,612,1,Current,96784.16574516622,True,iPad,iOS,Opera,31281.880518966,11,Employed,"['Mobile Banking Bill Payment', 'Mobile Recharge', 'QR Payment']",False,47
GIME000026,18-25,Nawalparasi,582,1,Savings,43137.41871791804,True,Android Phone,Android,Edge,7936.4295895605,29,Employed,"['Electricity Bill Payment', 'Branch Deposit', 'Wallet Load - Khalti', 'Branch Withdrawal', 'Inward Remittance', 'ATM Withdrawal']",True,50
GIME000027,26-35,Lalitpur,626,14,Savings,15000.0,True,Android Phone,Android,Samsung Internet,3452.332421570879,7,Employed,"['Electricity Bill Payment', 'Wallet Load - eSewa', 'Loan Payment', 'Inward Remittance', 'Hotel Booking Payment', 'Cable TV Payment']",False,35
GIME000028,18-25,Lalitpur,782,7,Current,170439.90785350968,True,Desktop,Windows,Opera,48533.675498379045,17,Self-employed,"['Mobile Banking Bill Payment', 'Inward Remittance', 'Cheque Payment', 'Outward Remittance', 'Wallet Load - eSewa', 'Interest Credit', 'Airline Ticket Payment', 'Mobile Recharge']",False,29
GIME000029,36-45,Butwal,672,5,Current,134110.52255900373,True,iPhone,iOS,Firefox,21288.34767560424,18,Employed,"['Electricity Bill Payment', 'Branch Deposit', 'Insurance Premium Payment', 'Wallet Load - Khalti']",False,22
